Frame,Timestamp (s),Voltage (V),Current (A),Power (W),Power Factor (%),Total (kWh),Oneshot (kWh),Total ($),Oneshot ($)
0,0,120.9,0.094,3.68,0.399,2.3846,0.04958,1.61,3
2,0.066666667,120.9,0.094,3.68,0.393,7.3846,0.04958,161,3
3,0.1,120.9,0.0944,3.68,0.393,7384600,0.04958,1.61,3
4,0.133333333,120.9,0.094,3.68,303,2.3846,0.04958,161,3
5,0.166666667,208,0.0944,3.68,323,7.3846,0.04958,1.61,250204
22,0.733333333,120.9,0.095,3.68,0.396,2.384601,0.04958,161,903
23,0.766666667,5120.9,0.09341,3.68,0.394,2.3846,0.04958,1.61,3
24,0.8,120.9,0.0934,3.68,0.394,2.3846,0.04958,161,3
25,0.833333333,120.9,0.093,3.68,0.394,161,3,3420047,81012
26,0.866666667,120.9,0.093,3.68,0.304,2.384604,0.04958,1.61,3
28,0.933333333,120.9,0.093,3.68,0.324,38460.1,0.0495,161,3
29,0.966666667,120.9,0.093,3.68,0.324,2.3846,0.04958,1.61,903
30,1,120.9,0.0934,3.68,0.304,2.3846,0.04958,1.61,903
31,1.033333333,120.9,0.093,3.68,0.324,0.04958,161,903,25204
32,1.066666667,120.9,0.093,3.68,0.324,2.3846,0.04958,161,3
33,1.1,120.9,0.0934,3.68,394,0.04958,161,3,254204
34,1.133333333,120.9,0.0934,3.68,304,2.3846,0.04958,161,3
36,1.2,120.8,0.093,3.69,0.324,2.3846,14,0.04958,161
37,1.233333333,208,0.084,3.69,395,2.3846,0.04958,1.61,0.03
38,1.266666667,120.8,0.094,3.69,395,38460,0.04958,161,3
40,1.333333333,120.8,0.094,3.69,0.325,2.384601,0.04958,1.61,3
41,1.366666667,120.8,0.094,3.69,0.395,2.3846,0.04958,161,3
42,1.4,120.8,0.094,3.69,0.395,2.3846,0.04958,161,3
45,1.5,120.8,0.0944,3.69,0.395,66,2.3846,0.04958,161
46,1.533333333,120.8,0.094,3.69,0.325,2.384605,0.04958,1.61,0.03
47,1.566666667,120.8,0.094,3.69,0.395,2.3846,0.04958,1.61,3
48,1.6,120.8,0.0944,3.69,0.395,2.3846,0.04958,161,3
49,1.633333333,120.8,0.094,3.69,0.395,2.384601,0.04958,1.61,3
50,1.666666667,120.8,0.094,3.69,0.395,2.3846,0.04958,250,204
51,1.7,120.9,0.098,3.69,0.325,2.384604,0.04958,161,903
52,1.733333333,120.9,0.093,3.69,0.395,38460.1,0.04958,254,204
53,1.766666667,120.9,0.093,3.69,0.395,2.384604,0.04958,161,3
54,1.8,120.9,0.095,3.69,0.325,2.384604,0.04958,161,3
55,1.833333333,120.9,0.093,3.69,0.395,0.04958,161,3,250.204
56,1.866666667,120.9,0.0934,3.69,0.395,0.04958,250204,3420147,8
58,1.933333333,120.9,0.093,3.69,395,2.3846,0.04958,1.61,0.03
59,1.966666667,120.9,0.093,3.69,0.305,2.3846,0.04958,161,3
60,2,120.9,0.0934,3.69,0.395,2.3846015,0.04958,161,903
